Price,Location,PC1,PC2,PC3
3200000,Meerpet,-1.7446110331222333,-0.7820385120344433,2.121890142343562
20500000,Kachiguda,-1.5251397763052608,1.1512729502149166,1.6916438038861092
6300000,Manikonda,-1.8804700652122182,-1.1527842368765386,-0.17525516044418274
6400000,Masab Tank,-1.6664862105941363,-0.12415405644255374,-0.430957813443008
4988000,Miyapur,-1.6724120131799916,-1.3026266763838037,-0.1698667501967527
10500000,Kondapur,-1.0580614918844715,-0.9353930862766011,-0.4241021689848557
4300000,Saroornagar,-1.88444247172285,-1.5330381564420468,-0.11317156953968824
3900000,Nizampet,-1.88204945575259,-1.3039695301977647,-0.15057132309661267
5500000,Uppal Kalan,-1.426766556857989,0.8011008020255252,1.7096269322370252
10300000,Tellapur,0.07465457867823452,0.8412214508229676,-0.8979489515529288
6600000,Mallapur,-0.9262601487833826,-0.5701590057027448,1.8579715838967588
